maxexp,cities,maxcompensation
132,Bengaluru,10000000
180,Delhi,4000000
144,Mumbai,3000000
72,Bangalore,3000000
180,Thiruvananthapuram,3000000
96,Mumbai,2500000
60,Gurgaon,2500000
96,Gurgaon,2500000
96,Pune,2500000
120,Bengaluru,2200000
84,Bangalore,2200000
180,Bengaluru,2200000
96,Pune,2000000
96,Thiruvananthapuram,2000000
96,Bengaluru,2000000
72,Bengaluru,2000000
72,Bengaluru,2000000
72,Bengaluru,2000000
84,Bengaluru,2000000
144,Bengaluru,2000000
108,Mumbai,2000000
120,Mumbai,2000000
72,Bengaluru,2000000
84,Bengaluru,1800000
144,Bengaluru,1800000
144,Hyderabad,1800000
84,Bangalore,1800000
108,Bangalore,1800000
72,Bengaluru,1800000
84,Bengaluru,1800000
180,Hyderabad,1700000
84,Bengaluru,1600000
48,Noida,1600000
36,Bengaluru,1600000
48,Bengaluru,1600000
60,Mumbai,1600000
96,Bengaluru,1600000
72,Delhi,1600000
60,Delhi,1600000
84,Mumbai,1500000
36,Kolkata,1500000
84,Kolkata,1500000
96,Bengaluru,1500000
72,Bengaluru,1500000
60,Bengaluru,1500000
60,Bangalore,1500000
60,Bengaluru,1500000
96,Chennai,1500000
60,Gurgaon,1500000
48,Bengaluru,1500000
60,Bengaluru,1500000
72,Mumbai,1500000
108,Bengaluru,1400000
48,Delhi,1400000
108,Pune,1400000
60,Gurgaon,1400000
96,Bengaluru,1400000
48,Bengaluru,1200000
72,Pune,1200000
48,Mumbai,1200000
120,Bengaluru,1200000
48,Bengaluru,1200000
84,Mumbai,1200000
60,Bangalore,1200000
48,Delhi,1200000
60,Pune,1200000
60,Pune,1200000
72,Bengaluru,1200000
36,Delhi,1200000
48,Delhi,1200000
72,Mumbai,1200000
96,Pune,1200000
84,Bengaluru,1200000
24,Chennai,1200000
60,Bengaluru,1000000
48,Bengaluru,1000000
60,Bengaluru,1000000
60,Hyderabad,1000000
60,Bengaluru,1000000
48,Gurgaon,1000000
60,Mumbai,1000000
60,Bangalore,1000000
36,Mumbai,1000000
72,Bengaluru,1000000
60,Bengaluru,1000000
60,Bengaluru,900000
72,Mumbai,900000
48,Mumbai,900000
96,Mumbai,900000
72,Bengaluru,900000
72,Bangalore,900000
96,Gurgaon,900000
60,Delhi,900000
120,Gurgaon,900000
84,Chennai,900000
108,Noida,900000
48,Mumbai,800000
60,Bengaluru,800000
48,Delhi,800000
60,Mumbai,800000
48,Bangalore,800000
60,Delhi,800000
36,Bangalore,800000
72,Delhi,800000
36,Bengaluru,800000
36,Noida,800000
36,Noida,800000
72,Noida,800000
96,Mumbai,800000
72,Hyderabad,800000
36,Delhi,700000
72,Bengaluru,700000
48,Bangalore,700000
36,Gurgaon,700000
60,Mumbai,700000
36,Gurgaon,700000
48,Bengaluru,700000
84,Pune,700000
60,Bengaluru,700000
60,Delhi,700000
36,Bengaluru,600000
72,Bengaluru,600000
36,Gurgaon,600000
48,Mumbai,600000
36,Bengaluru,600000
48,Bengaluru,600000
36,Bengaluru,600000
60,Delhi,600000
36,Bangalore,600000
24,Mumbai,600000
36,Bengaluru,600000
60,Bengaluru,600000
180,Chennai,600000
60,Mumbai,600000
84,Hyderabad,600000
84,Hyderabad,600000
120,Mumbai,600000
96,Mumbai,600000
36,Mumbai,550000
24,Mumbai,500000
36,Delhi,500000
24,Delhi,500000
48,Bengaluru,500000
72,Bengaluru,500000
48,Bengaluru,500000
36,Bengaluru,500000
36,Bengaluru,500000
24,Hyderabad,500000
96,Mumbai,500000
60,Noida,480000
36,Mumbai,450000
60,Delhi,420000
24,Bengaluru,420000
36,Bengaluru,400000
36,Delhi,400000
36,Bengaluru,400000
24,Navi Mumbai,400000
12,Bengaluru,360000
24,Bengaluru,360000
12,Bengaluru,360000
36,Bengaluru,350000
36,Hyderabad,300000
48,Ahmedabad,250000
36,Thiruvananthapuram,240000
24,Bengaluru,200000
24,Mumbai,200000
12,Bengaluru,180000
48,Bengaluro,100000
